,date,comment,rate,resturant name,preprocessed comment
135,2022-06-09,سس داخل سایت ندارن اصلی ترین مشکلشون اینه باید به سایت سس اضافه کنن همیشه باید خیلی راه رو خودم برم سس بخرم سس رو به سایت اضافه کنید مرسی,۵,فست فود کلوا,سس داخل سایت ندارن اصل مشکلشون اینه سایت سس اضافه کنن خودم برد#بر سس خرید#خر سس سایت اضافه مرسی
136,2023-06-09,عالی,۵,فست فود کلوا,عالی
137,2023-06-01,خیلی خوشمزه بود,۵,فست فود کلوا,خوشمزه
138,2023-05-19,ما مشتری ثابت کلوا هستیم دمشون گرم کسب و کارشون پر برکت,۵,فست فود کلوا,مشتری ثابت کلوا دمشون گرم کسب کارشون برکت
139,2022-08-21,همه چی خوب بود جز کیفیت هاتداگ پیتزا کینگ,۴,فست فود کلوا,چی خوب کیفیت هاتداگ پیتزا کینگ
140,2023-05-11,عالی مثل همیشه,۵,فست فود کلوا,عالی
141,2022-02-22,بنظرم بهترین پیتزاشون رست بیف باشه,۵,فست فود کلوا,بنظرم پیتزاشون رست#روی بیف باشه
142,2023-08-05,رست بیف عالی بوددددد طعم بی نطیر,۵,فست فود کلوا,رست#روی بیف عالی بودد طعم نطیر
143,2022-09-22,مثل همیشه عالی,۵,فست فود کلوا,عالی
144,2023-05-01,خوب بود,۵,فست فود کلوا,خوب
145,2023-07-24,"خیلی سریع تحویل شد
کیفیت خوب",۵,فست فود کلوا,سریع تحویل کیفیت خوب
146,2023-04-06,بسیار خوب,۴,فست فود کلوا,خوب
147,2022-05-26,پیتزاش خوب بود، اما با اینکه توی توضیحات اسم سس هارو نوشته بودم ولی همه رو برام قرمز آوردن,۳,فست فود کلوا,پیتزا خوب تو توضیحات اسم سس هارو نوشتهبودم برام قرمز آوردن
148,2022-11-26,ممنون از توجهتون به توضیحات.عالی بود.هم زود و گرم بدستم رسید وهم کیفیت غذا عالی بود.متشکرم,۵,فست فود کلوا,ممنون توجهتون توضیحات عالی زود گرم بدستید#بدست وهم کیفیت غذا عالی متشکر
